id,type,metric,RMSE,MAE,K
99,item,cosine,0.9272127918122619,0.7108198781597305,34
100,item,msd,0.9160113378719542,0.7025409504636052,34
101,item,pearson,0.9299882097048796,0.7094476586811783,34
102,item,cosine,0.9280150602319504,0.7111498343543279,35
103,item,msd,0.9160400384592009,0.7020270458222819,35
104,item,pearson,0.9295639593073929,0.7085977104689006,35
105,item,cosine,0.9268730753257174,0.7100533347152785,36
106,item,msd,0.9145260516757633,0.7013446392995835,36
107,item,pearson,0.9276292336314,0.7070627380572901,36
108,item,cosine,0.9270690670549786,0.7101715048932761,37
109,item,msd,0.9140841619927602,0.700553625732471,37
110,item,pearson,0.9279175595793431,0.7073105818178677,37
111,item,cosine,0.9279422661879279,0.710508628731813,38
112,item,msd,0.9153777441892832,0.7012378750540347,38
113,item,pearson,0.9296796163810239,0.7087192584548685,38
114,item,cosine,0.9259395357957596,0.7097792022000492,39
115,item,msd,0.9151466669045684,0.701276344634024,39
116,item,pearson,0.9289315093146925,0.7074840148876828,39
117,item,cosine,0.9261704906360329,0.7098895123651686,40
118,item,msd,0.9139818738287964,0.7004862970400558,40
119,item,pearson,0.9272449690309115,0.7073024222922879,40
120,item,cosine,0.9265483069499654,0.7102134519555338,41
121,item,msd,0.9137463585496091,0.6994721806384051,41
122,item,pearson,0.9265292098333934,0.7065404238736716,41
123,item,cosine,0.9265029478818496,0.7099862223380421,42
124,item,msd,0.9131702981697718,0.699700683140527,42
125,item,pearson,0.9271474431527071,0.7068347273699127,42
126,item,cosine,0.9260398769138943,0.709789724834916,43
127,item,msd,0.9155543637829295,0.7010894195150986,43
128,item,pearson,0.9265777310882989,0.706964926573568,43
129,item,cosine,0.9271074074447088,0.7104318222458342,44
130,item,msd,0.9133426118848454,0.6998930553713847,44
131,item,pearson,0.9267810492366036,0.7065070130106185,44
132,item,cosine,0.925202959834823,0.7087227946428992,45
133,item,msd,0.9148387607198896,0.7003181255750521,45
134,item,pearson,0.926264390636329,0.7058549385224422,45
135,item,cosine,0.924719454979296,0.7084075726458579,46
136,item,msd,0.9138773512000224,0.7001419053851426,46
137,item,pearson,0.9255363086010776,0.7055510237355238,46
138,item,cosine,0.9253210088148862,0.7089988013354779,47
139,item,msd,0.9131164282936123,0.6991645697668167,47
140,item,pearson,0.9267524784524328,0.7057474149389433,47
141,item,cosine,0.9242098001019228,0.7080122314480456,48
142,item,msd,0.913441076038078,0.6998934941155532,48
143,item,pearson,0.9262119113827871,0.7059437272209755,48
144,item,cosine,0.9228222862922447,0.7074542238764941,49
145,item,msd,0.9147658987340668,0.7000710512385335,49
146,item,pearson,0.9269913858545588,0.705844348041803,49
147,item,cosine,0.9237173527481675,0.7077938902011816,50
148,item,msd,0.9118904126523368,0.6985943498747342,50
149,item,pearson,0.9260334556750772,0.7051686278845339,50
150,item,cosine,0.9254065925491723,0.7086740082276455,51
151,item,msd,0.911602705303267,0.698330928930492,51
152,item,pearson,0.9261269854538797,0.7055134493099751,51
153,item,cosine,0.9238921234165117,0.708083510764958,52
154,item,msd,0.9129376580160402,0.6986740119234833,52
155,item,pearson,0.9266555461252622,0.705845904265763,52
156,item,cosine,0.9239942583341744,0.7076232706652805,53
157,item,msd,0.9132764103701853,0.6991533672456143,53
158,item,pearson,0.9276986339490236,0.7068942557374844,53
159,item,cosine,0.923264180292896,0.7075811582785851,54
160,item,msd,0.913139813127481,0.6992313323841044,54
161,item,pearson,0.9260101072274498,0.7054371355417655,54
162,item,cosine,0.9225031521651885,0.7075435145616251,55
163,item,msd,0.9132991240405932,0.6988845860466186,55
164,item,pearson,0.9257625701472023,0.7056804831392756,55
165,item,cosine,0.9237796718685128,0.708169827880664,56
166,item,msd,0.9113027220952123,0.6983219693062078,56
167,item,pearson,0.9270443173244887,0.7057470699267163,56
168,item,cosine,0.925287502343294,0.7088279580710848,57
169,item,msd,0.9135774345704808,0.6992589583153466,57
170,item,pearson,0.9255396496888011,0.7046738955943112,57
171,item,cosine,0.9236642282891248,0.707331674775646,58
172,item,msd,0.9130771522395614,0.6993793091918615,58
173,item,pearson,0.9258513960284649,0.7055247078496156,58
174,item,cosine,0.9217621168022877,0.7063001032528212,59
175,item,msd,0.9113147990747488,0.6976321782395187,59
176,item,pearson,0.9231803838287627,0.7034945218918537,59
177,item,cosine,0.9219435492993977,0.7067203656345572,60
178,item,msd,0.9137920253771693,0.6994909564086491,60
179,item,pearson,0.9240941538301775,0.7038835679293147,60
180,item,cosine,0.923403186220242,0.7070468710959865,61
181,item,msd,0.912259230248049,0.6981520969642661,61
182,item,pearson,0.9256058232104959,0.7051407075586776,61
183,item,cosine,0.9232963142939509,0.7073134333524664,62
184,item,msd,0.9124124513952643,0.698262193656611,62
185,item,pearson,0.9254272208554501,0.7053099494356533,62
186,item,cosine,0.9223712912667767,0.7070180341828012,63
187,item,msd,0.9121706262751109,0.6981844204181782,63
188,item,pearson,0.9244733477013642,0.7043512360956455,63
189,item,cosine,0.9222120656847214,0.7064177448467056,64
190,item,msd,0.9105860898451464,0.6968312123750501,64
